76,10,88
34,91,18
99,84,21
77,37,56
20,39,28
50,29,25
56,3,43
9,67,94
77,34,7
1,28,25
66,12,59
60,97,63
46,10,4
47,79,51
77,4,80
86,54,17
87,68,63
31,80,40
59,63,18
31,19,5
48,32,90
38,95,42
12,19,53
72,98,57
45,50,77
76,5,91
98,59,36
30,95,42
90,45,97
12,11,53
100,3,74
93,6,69
95,92,78
89,93,35
88,96,72
37,45,71
15,51,70
15,90,61
99,47,22
15,58,55
36,75,79
75,88,26
64,39,63
52,49,81
30,8,31
55,21,51
99,57,96
21,8,30
26,68,39
31,52,71
42,73,89
15,65,11
50,81,98
93,28,17
29,19,38
100,4,80
93,74,87
70,67,18
6,70,99
10,1,99
47,60,74
17,80,43
40,91,81
8,28,72
34,21,42
63,54,46
14,71,85
40,41,17
38,96,13
58,73,27
94,73,56
35,96,89
53,66,57
9,50,60
55,75,10
29,66,73
21,43,49
41,56,9
24,86,28
67,55,75
92,87,15
47,79,46
41,12,22
27,59,4
3,88,49
46,9,100
9,98,78
13,2,12
13,47,95
56,81,54
95,73,36
7,4,57
88,89,100
94,100,48
84,86,23
70,78,4
26,70,10
55,59,16
62,18,1
35,37,53
100,74,44
